BrandName,ClassName,Aggregate Sales Amount
Adventure Works,Regular,1100128.0925000003
 ,Economy,382578.943
Proseware,Regular,551544.35
 ,Economy,299679.64350000006
Southridge Video,Regular,156119.20600000003
 ,Economy,113530.77550000003
Fabrikam,Regular,1004663.4265000006
 ,Economy,256655.72149999993
Contoso,Regular,750042.4950000007
 ,Economy,495596.99350000004
Northwind Traders,Regular,63067.92649999999
 ,Economy,46267.252
Litware,Regular,359935.15849999996
 ,Economy,166303.15400000004
A. Datum,Regular,320090.13499999995
 ,Economy,130092.04999999999
Fabrikam  ,Regular,442190.1499999999
 ,Economy,45064.5
The Phone Company,Regular,294602.50000000006
 ,Economy,85928.05
Litware ,Regular,140926.1
 ,Economy,61106.884999999995
Contoso ,Regular,283599.8885
 ,Economy,99605.5305
Wide World Importers,Regular,635202.2259999996
 ,Economy,303506.74250000005
Adventure Works ,Regular,0
 ,Economy,10462.8845
Tailspin Toys,Regular,2674.9585
 ,Economy,8285.26
