POS,,,,,,,,,,,,,,,,,,,,,,,,
SalesKey,ProductName,Manufacturer,BrandName,ClassName,UnitCost,UnitPrice,SalesQuantity,DiscountQuantity,DiscountAmount,TotalCost,SalesAmount,FullDateLabel,DateDescription,CalendarYear,CalendarQuarter,CalendarQuarterLabel,CalendarMonth,CalendarMonthLabel,CalendarWeek,CalendarWeekLabel,CalendarDayOfWeekLabel,IsWorkDay,EuropeSeason,NorthAmericaSeason
578516,Adventure Works 26" 720p LCD HDTV M140 Silver,Adventure Works,Adventure Works,Regular,216.12,469.97,9,3,70.4955,1945.08,4159.2345,1/1/2009,1/1/2009,2009,20091,Q1,200901,January,200901,Week 1,Thursday,WorkDay,Holiday,Spring/Back to Business
303401,Adventure Works Laptop12 M1201 White,Adventure Works,Adventure Works,Regular,195.24,382.95,9,4,76.59,1561.92,3369.96,1/1/2009,1/1/2009,2009,20091,Q1,200901,January,200901,Week 1,Thursday,WorkDay,Holiday,Spring/Back to Business
3122796,Adventure Works Laptop12 M1201 Blue,Adventure Works,Adventure Works,Regular,195.24,382.95,9,1,19.1475,1561.92,3427.4025,1/1/2009,1/1/2009,2009,20091,Q1,200901,January,200901,Week 1,Thursday,WorkDay,Holiday,Spring/Back to Business
2336157,Proseware Photo Ink Jet Printer M100 Black,"Proseware, Inc.",Proseware,Regular,73.12,159,9,0,0,658.08,1431,1/1/2009,1/1/2009,2009,20091,Q1,200901,January,200901,Week 1,Thursday,WorkDay,Holiday,Spring/Back to Business
1172679,SV DVD 12-Inch Player Portable M400 White,Southridge Video,Southridge Video,Regular,82.77,179.99,9,0,0,744.93,1619.91,1/1/2009,1/1/2009,2009,20091,Q1,200901,January,200901,Week 1,Thursday,WorkDay,Holiday,Spring/Back to Business
603454,Fabrikam Microwave 0.8CuFt E0800 Blue,"Fabrikam, Inc.",Fabrikam,Economy,48.43,94.99,18,4,18.998,871.74,1690.822,1/1/2009,1/1/2009,2009,20091,Q1,200901,January,200901,Week 1,Thursday,WorkDay,Holiday,Spring/Back to Business
2132604,Contoso KSU-less key system M38 Black,"Contoso, Ltd",Contoso,Regular,12.41,26.99,9,4,5.398,111.69,237.512,1/2/2009,1/2/2009,2009,20091,Q1,200901,January,200901,Week 1,Friday,WorkDay,Holiday,Spring/Back to Business
3025404,Proseware Laptop12 M210 White,"Proseware, Inc.",Proseware,Regular,195.24,382.95,9,4,76.59,1757.16,3369.96,1/2/2009,1/2/2009,2009,20091,Q1,200901,January,200901,Week 1,Friday,WorkDay,Holiday,Spring/Back to Business
201161,Adventure Works Laptop8.9 E0890 White,Adventure Works,Adventure Works,Economy,166.2,326,18,0,0,2991.6,5868,1/2/2009,1/2/2009,2009,20091,Q1,200901,January,200901,Week 1,Friday,WorkDay,Holiday,Spring/Back to Business
1442278,Fabrikam Laptop12 M2000 White,"Fabrikam, Inc.",Fabrikam,Regular,186.6,366,9,4,73.2,1679.4,3220.8,1/2/2009,1/2/2009,2009,20091,Q1,200901,January,200901,Week 1,Friday,WorkDay,Holiday,Spring/Back to Business
169884,NT Bluetooth Active Headphones E202 Black,Northwind Traders,Northwind Traders,Economy,17.45,37.95,18,2,3.795,314.1,679.305,1/2/2009,1/2/2009,2009,20091,Q1,200901,January,200901,Week 1,Friday,WorkDay,Holiday,Spring/Back to Business
2948864,Litware Chandelier M6015 Grey,"Litware, Inc.",Litware,Regular,105.76,229.99,9,1,11.4995,951.84,2058.4105,1/2/2009,1/2/2009,2009,20091,Q1,200901,January,200901,Week 1,Friday,WorkDay,Holiday,Spring/Back to Business
2598248,Fabrikam Laptop12 M2002 Red,"Fabrikam, Inc.",Fabrikam,Regular,187.62,368,9,0,0,1500.96,3312,1/3/2009,1/3/2009,2009,20091,Q1,200901,January,200901,Week 1,Saturday,WeekEnd,Holiday,Spring/Back to Business
2521003,Proseware Laptop12 M210 Black,"Proseware, Inc.",Proseware,Regular,195.24,382.95,9,3,57.4425,1561.92,3389.1075,1/3/2009,1/3/2009,2009,20091,Q1,200901,January,200901,Week 1,Saturday,WeekEnd,Holiday,Spring/Back to Business
1431433,Proseware CRT19 E201 Black,"Proseware, Inc.",Proseware,Economy,35.18,69,18,4,13.8,633.24,1228.2,1/3/2009,1/3/2009,2009,20091,Q1,200901,January,200901,Week 1,Saturday,WeekEnd,Holiday,Spring/Back to Business
765049,Proseware Projector 480p LCD12 Black,"Proseware, Inc.",Proseware,Regular,116.75,229,9,1,11.45,1050.75,2049.55,1/3/2009,1/3/2009,2009,20091,Q1,200901,January,200901,Week 1,Saturday,WeekEnd,Holiday,Spring/Back to Business
1722394,Proseware Screen 106in M1609 Silver,"Proseware, Inc.",Proseware,Regular,115.43,251,9,3,37.65,1038.87,2221.35,1/3/2009,1/3/2009,2009,20091,Q1,200901,January,200901,Week 1,Saturday,WeekEnd,Holiday,Spring/Back to Business
2149225,Contoso Expandable 4-Handset Cordless Phone System M206 Black,"Contoso, Ltd",Contoso,Regular,20.15,43.81,9,3,6.5715,181.35,387.7185,1/3/2009,1/3/2009,2009,20091,Q1,200901,January,200901,Week 1,Saturday,WeekEnd,Holiday,Spring/Back to Business
650588,A. Datum Rangefinder Digital Camera X200 Black,A. Datum Corporation,A. Datum,Regular,66.26,200,9,4,40,596.34,1760,1/3/2009,1/3/2009,2009,20091,Q1,200901,January,200901,Week 1,Saturday,WeekEnd,Holiday,Spring/Back to Business
2075362,Fabrikam Microwave 1.6CuFt M1250 Blue,"Fabrikam, Inc.",Fabrikam,Regular,82.77,179.99,9,3,26.9985,744.93,1592.9115,1/3/2009,1/3/2009,2009,20091,Q1,200901,January,200901,Week 1,Saturday,WeekEnd,Holiday,Spring/Back to Business
3376689,Litware Microwave 2.2CuFt M125 Red,"Litware, Inc.",Litware,Regular,91.97,199.99,9,2,19.999,827.73,1779.911,1/3/2009,1/3/2009,2009,20091,Q1,200901,January,200901,Week 1,Saturday,WeekEnd,Holiday,Spring/Back to Business
3354975,Adventure Works Floor Lamp M2150 White,Adventure Works,Adventure Works,Regular,155.89,339,9,0,0,1403.01,3051,1/4/2009,1/4/2009,2009,20091,Q1,200901,January,200902,Week 2,Sunday,WeekEnd,Holiday,Spring/Back to Business
448126,A. Datum SLR Camera 35" M358 Black,A. Datum Corporation,A. Datum,Regular,155.43,338,9,3,50.7,1398.87,2991.3,1/4/2009,1/4/2009,2009,20091,Q1,200901,January,200902,Week 2,Sunday,WeekEnd,Holiday,Spring/Back to Business
2736409,Contoso Multi-Use Terminal Cable E308 Silver,"Contoso, Ltd",Contoso,Economy,18.86,36.99,18,1,1.8495,339.48,663.9705,1/4/2009,1/4/2009,2009,20091,Q1,200901,January,200902,Week 2,Sunday,WeekEnd,Holiday,Spring/Back to Business
906330,Proseware LCD20W M230 White,"Proseware, Inc.",Proseware,Regular,128.3,279,9,2,27.9,1154.7,2483.1,1/4/2009,1/4/2009,2009,20091,Q1,200901,January,200902,Week 2,Sunday,WeekEnd,Holiday,Spring/Back to Business
1883463,Fabrikam Laptop8.9 E8002 Red,"Fabrikam, Inc.",Fabrikam,Economy,166.2,326,18,0,0,2991.6,5868,1/4/2009,1/4/2009,2009,20091,Q1,200901,January,200902,Week 2,Sunday,WeekEnd,Holiday,Spring/Back to Business
663296,Adventure Works Laptop15 M1501 White,Adventure Works,Adventure Works,Regular,321.44,699,9,2,69.9,2892.96,6221.1,1/4/2009,1/4/2009,2009,20091,Q1,200901,January,200902,Week 2,Sunday,WeekEnd,Holiday,Spring/Back to Business
